"","aDC","Adipocytes","Astrocytes","B-cells","Basophils","CD4+ memory T-cells","CD4+ naive T-cells","CD4+ T-cells","CD4+ Tcm","CD4+ Tem","CD8+ naive T-cells","CD8+ T-cells","CD8+ Tcm","CD8+ Tem","cDC","Chondrocytes","Class-switched memory B-cells","CLP","CMP","DC","Endothelial cells","Eosinophils","Epithelial cells","Erythrocytes","Fibroblasts","GMP","Hepatocytes","HSC","iDC","Keratinocytes","ly Endothelial cells","Macrophages","Macrophages M1","Macrophages M2","Mast cells","Megakaryocytes","Melanocytes","Memory B-cells","MEP","Mesangial cells","Monocytes","MPP","MSC","mv Endothelial cells","Myocytes","naive B-cells","Neurons","Neutrophils","NK cells","NKT","Osteoblast","pDC","Pericytes","Plasma cells","Platelets","Preadipocytes","pro B-cells","Sebocytes","Skeletal muscle","Smooth muscle","Tgd cells","Th1 cells","Th2 cells","Tregs","ImmuneScore","StromaScore","MicroenvironmentScore"
"M105B",0,2.12106788764626e-18,4.19797325850602e-18,0.00368479369440323,0.0794057021921888,2.29957350721983e-20,0,4.37436050872079e-18,1.42315656607141e-18,1.39404329470247e-19,0.0343942224956798,0.00228393627990198,1.63304098306558e-17,1.34083209532705e-17,0,3.13200506962557e-18,0.0197251695158097,0.055083280791217,0,0,0.0135319406612567,1.90748008122311e-18,4.39063631081436e-19,0,4.73412049986972e-18,0,0,0.00249008966549405,0.00727989951615495,1.78311027407053e-19,0.00240766293527816,2.92723950691286e-19,0,7.45819335853069e-20,0.00204827738086803,0.00358786338001848,0,0,0.0374139118332435,4.72065366856859e-21,3.2746917378295e-18,0,1.17502468062458e-18,8.49643859215645e-21,0.000539300733421197,0,0.00873954892558761,1.64462867859203e-19,3.71001619797459e-17,0,0.0902952029990214,0.00986068133054505,6.75183669538534e-18,0,2.78439135215767e-18,0.0364544742286408,0.00811665752948445,0,0,0.187009840846811,5.92977468626255e-19,0,0.163352637451315,9.43153821082942e-19,0.00534467157011552,0.00676597033062836,0.0121106419007439
"M105S",2.00349978042692e-19,0,0,0.00450202736240128,0.0176370260716861,0,0,9.01265835045137e-19,0.0114981311638445,0.0350604133267769,0.013765283837508,0,3.40501112850746e-18,9.06140435168993e-18,0,0,0.00455967514280893,0.0373907210706986,3.26470342258399e-18,8.6949782546978e-19,0.00181646208562022,0,0.000484133690628867,0,7.63003292770896e-18,3.02878203433102e-21,1.96452084980979e-20,2.67991837180899e-19,0,1.03812756212544e-20,0,0,3.43403708698904e-20,0,0.00279690759938543,0,0.00240006538230015,0,0.0825467961985266,5.23376918489091e-19,0,5.5675195791776e-19,0.0909731256188798,0,2.07410300816422e-20,4.54035945683587e-21,0.0106917723553392,1.13357769272891e-18,0,0.0294613249656174,0.114750910823215,0.00119663264021358,0.0219597684606056,0.0219434246711133,1.84491978661119e-19,0,0.00171289353268184,0,2.12685287808599e-18,0.0958407332086462,0,0.0045535109968807,0.042758886161896,0,0.00486595664119114,0.000908231042810114,0.00577418768400126
"M140B",0.0854378578113532,3.4528516504855e-19,5.68642495669881e-20,0,0.130430064655626,0,1.23477844376766e-18,0,1.26123833270733e-19,0,0.00682785569427349,3.66447430716194e-18,9.3516016043465e-18,0,0.0168433474318593,4.25522910765241e-18,0,0.00859432417647737,0.00491006168877579,0.00261817246360728,0,0,8.6805691756089e-05,0,0,3.91767360958203e-18,1.95229490920452e-19,0.00558076980634773,1.20152563266883e-18,1.06889041329052e-19,9.56801446590034e-20,0.0341507680228906,0.0189670399206687,0.022995817355068,0.00585682563562781,2.13980345875103e-21,0.00118949011573638,0.000862084763842664,0.0289018456390782,0,0.0135259298644854,0,0.00902140170517284,3.11027540673384e-19,0.000874580311235243,0,0.00494426267553073,7.34643888152951e-20,0,0,0.066827178471927,0.00368760304306645,2.42203137984343e-17,0,0,1.49990389641029e-17,0.00331756255299101,0,0.00171579344457296,0.0865615244242705,0,0,0.0567860591253076,0,0.0374344639910741,1.72642582524275e-19,0.0374344639910741
"M140S",0.102176038351129,0,0.00232668000380677,0,0.073903979747016,0,8.47783796907693e-19,0,0,0,0.01622621741993,0,0.00284125239585789,2.70313877969333e-18,0.0318376807650803,0,0.000761931976980117,0.0199432436182803,0.0132877044262108,0.00645805716294435,0.00261862671763244,6.79235285475497e-19,0.00174822466682135,0,0,0.00324090416129553,7.98545307656315e-19,0.0251273672942031,0,4.93347094271356e-19,0.00174886705230952,0.0341962003752404,0.0147821322984941,0.0364854306652531,0.00428970947866484,0.001854447077304,0.000947725936688958,0,0.0707198650913287,0,0.00791199610978538,0,0,0,0.0033898864745719,0,0.000682222490857937,0.000881134559414236,4.6923373297572e-18,0,0.0446191752739751,0.0119711229715206,0,0,0,8.41084800594247e-18,0.00859660192882947,0,4.95924298010764e-20,0.102139545821731,0,1.25375698926503e-17,0.148273712815461,0,0.0358247317906995,0.00130931335881622,0.0371340451495157
"M062B",0,0.193172895810423,0.127620795920829,0,0.162267641531569,0,0,6.70967930295033e-18,0,0,0,5.31047932298593e-18,0,0,2.1195694351918e-18,0.0459606933537734,0,5.35609162467268e-19,0,6.33160834248621e-19,0.0157657292914145,0,0,1.10241869552378e-18,1.91935633710796e-18,2.4998694994883e-17,0.00572067902161131,0.0848207330095053,5.3277575532377e-19,0,0.00723278077898748,0.00122936619540797,1.1933757980852e-20,0.0189622921453275,2.10050085023716e-21,0.0066158723536723,0,0,0.00434940621302282,0.024516212418882,7.98923485455233e-18,1.92106845086837e-17,0,0.0193750123517163,0,0,0.000437904631987955,0,2.82027324187561e-18,0,0.0644227583409505,2.01681251207015e-18,2.54524223241078e-18,0,9.71023858781151e-18,0.0105339672705612,0,4.33485505146015e-20,0,0,3.31087428885325e-18,0,3.67811077760908e-18,0,0.000819577463605326,0.104469312550919,0.105288890014524
"M062S",0.0697773871705797,0.01700449688046,0.153143434132892,0,0.160127077110113,0,0,0,2.11068276772039e-18,2.39453949726628e-20,3.76290324214505e-18,0,0,0,0,0.0521219290062466,0.00270654882238393,0,4.75945900022454e-18,0,0.0224336701946839,1.13532040046273e-18,0.00282792585687698,6.54041516856732e-19,0.00713153295933548,6.19842277268716e-18,0.00590580113753124,0.0992564878678848,0,0.00250262477585997,0.00170957842213686,2.28043414609259e-18,0.00328794352734821,0.00928645860622285,7.2433493071669e-20,0.00740917260901153,0.00141944864781696,0,0,0.0106677622009945,0,1.29423391987165e-17,0,0.00789819206068467,4.2567495495494e-19,0.00116019577523691,0.00152719984643938,2.54717451871671e-19,0,8.38980948554372e-18,0.0552173005683054,2.62918674185197e-19,0.0158332556164485,1.22696153866061e-18,9.82219934710953e-18,7.33562682208062e-06,3.51358841901753e-18,0,0,0.00448035898590023,7.07114632785272e-18,0,2.22977986784637e-18,0,2.49527032766578e-18,0.0232848500172397,0.0232848500172397
"M070B",0.0594974416921609,0.0105503061584289,4.76298479161253e-18,0,6.17682059521162e-20,0.00679903526638986,0,1.27306130407247e-19,1.29768084657788e-18,0.00803745020234385,0.00350165328664452,0,0.0216691714282547,3.28060094857427e-19,0,0,0.00043753185345221,0.00355534962360592,0,0.000345757693178419,0,0,0.00875902281069151,4.81720661213027e-20,0.012662097907114,0.016098039769476,6.31065424752696e-20,0.023992683165113,4.12282543623985e-18,0.00029489598740278,4.18144035560797e-19,0.0027919423674895,0,0.0140640841695707,1.01220670936958e-20,0.00109177856781136,0.00150212132547659,1.18251333294622e-18,0.0647927213358589,0,0.00311503931885758,0,0.214234559389772,0,0.00524619146022545,8.80877436578225e-19,0,1.32069714499651e-20,1.86209102039915e-18,0.0145947212828837,0.123847465802821,0.0102142485062556,4.10863463331947e-18,0,0.0057002051273277,0,0.023165054752525,0.000203710904584698,9.73828461022824e-19,0,0,4.9595980318886e-18,0.24496080886923,8.07503833802234e-18,0.00416849291968367,0.0116062020327715,0.0157746949524551
"M070S",0.150664863556713,0.0529905169013036,0.00850883780656099,0,0,0.00165893304124783,0,1.09649923421849e-19,2.31601027411059e-18,0.107496247448129,0.00815064018848233,0.0292833684746394,0.0883287395820743,0.00322610649096571,0.00306476902913745,0.00786192499003383,0.024114645550993,0,0.00307304541298732,0.00679682485991538,1.26930493601195e-19,0,0.00393494175360757,0,0.070828981927888,0.0140146410653457,2.6622899919887e-19,0.0643086762451949,0.0304737474942601,0.000878834626357076,0.00117660865084861,0.0143296224286179,0.00235803481967917,0.0359172552091169,0.00223411694803775,0.00262795119493324,0.000980861449832567,0,0.0146669018272966,0,0.00905703069802476,1.11197032962715e-18,0.2841717193312,0.001005728189965,0,4.0730474257605e-20,0.000148964481229448,1.10314531263661e-20,0,0.00963624063790381,0.0345387898914709,0.00706812006631311,0.0323342937232055,2.62553271934868e-19,0.00108982992349613,6.3065471480555e-18,2.31317289621599e-18,0.000514073132687114,0,3.874689504852e-18,5.91581465054093e-18,1.20619008284781e-18,0.0603485128749369,6.6775985087621e-20,0.0411339756061568,0.0619097494145958,0.103043725020753
"M073B",0.138167269927514,0.000843792984010053,0.0205637866555884,0.0319633234757309,0.18457054050948,0,4.56816913927255e-18,3.57521057954192e-18,3.44288984259093e-19,0.0650035925935093,0.00763271027241148,0.053718050776747,0.056295095288875,4.85739787182428e-19,0.00242692549522804,0.0166766188709148,0.00989772806061997,8.4280778583599e-20,1.04716760452947e-18,0.00662892932112838,0,2.39994254995102e-18,0,9.56819840065761e-19,0,4.72926031972984e-18,0.00140977753970218,1.27795690556473e-18,0,2.30927700053257e-18,9.53855555030653e-20,0.0202835713836125,0.0244023117733019,0.0229976003917104,0.0130942394662442,6.43394250677682e-19,0.000199000680380522,0.00718079325112038,0.0423566255851462,0.00175511006558019,2.05149270939774e-18,1.52734674129529e-18,0.0500709103926956,0,1.08590507685916e-19,0.00308382391619881,0,0,4.65013994554015e-18,0,0.0637859080619366,0.0144976126180637,0.00231823880016422,6.89910419942645e-20,1.86708899412022e-18,0,0.0164644972115824,1.17716068673137e-19,4.67371070563192e-21,0.014453506965921,1.35644463816291e-18,0.000598004241425213,0.120480345054329,0.000338474581151113,0.0837920762823086,0.000421896492005027,0.0842139727743137
"M073S",0.233236889314402,0.0178193009775007,0.0458226137254711,0.0701049813508347,0.0807455203220603,0.0328411976157809,4.51267387500331e-18,0,5.44291088855258e-19,0.140187356405351,0.022888358318098,0.10651377599448,0.22607164221685,0.0195987633047885,0.0196490592748905,0.0205038062272021,0.0322398931213944,0.000135156738058861,3.24602249653462e-19,0.0247258369928384,0.00237835458659965,0,0.00239128811506794,0,0.0247964254229289,0,0.000436227459981252,0.0256024615772226,0.104566231612191,0,0.000777343849784919,0.0459166958076918,0.044555649061664,0.0387745828883161,0.00858750339283776,0.000317502732233029,2.01475209171858e-18,0.0246705304448624,8.7247362268211e-19,0.00810054368252131,0.0120321161470742,2.03127838727662e-18,0,0.000214986327696052,6.16274496214536e-19,0.00533766942287546,8.54906292747317e-05,2.45938412949148e-19,6.08295430674284e-18,3.16562827215689e-19,0,0.0946800715586344,2.50504727796023e-18,0.0149543871538906,1.03546738713289e-19,0.0220998666124328,0.00353765245926926,0.000274051223239179,0,0.0242052988145427,5.88063980849052e-18,0,0.119292761172767,0.0275182444726839,0.178587273123838,0.0224970404935146,0.201084313617353
"M077B",0.0214961435867898,0.00325594234286977,0.00688976736345564,0,0,0.00152881048364145,0,6.11589845513576e-19,0.00332034355725732,0.0288096317913553,0.00756430346864758,0.000698292180454519,0.00863468162100493,3.08754340329292e-18,0,0.0174194534064401,0,0.0137190079900831,4.29539562899039e-20,6.17721078690284e-20,0.0284003340202433,1.51018213999261e-18,1.09099567087725e-20,2.84023166368879e-19,0,8.83358415388757e-19,0,0.103505676669758,0.00118533900267342,2.27046655502323e-21,0.00546548300275712,0.0106094660644775,0.00693764434524481,0.00121740679783063,0,0.00224524320948029,3.83123959532214e-21,0,0.0426791051636776,0,0,0,0.0902642078459077,0.0171572065321695,0.00618415632107149,0,0.0405872442610113,0,2.95170105421139e-18,0.0018736433431949,0.0967931309011648,5.89038459955163e-19,0,0.00082060566693123,0.00403739028123653,3.53451860292937e-19,0,0.000215755410297299,0,0.057553758494724,7.64101506123088e-18,0.0016940195371274,0.0603315605002509,0.00477376337756702,0.00753850549662138,0.0158281381815565,0.0233666436781779
"M077S",0.0371037531931289,0,2.97372573426174e-19,4.49868003149228e-19,0,0.00111648279913865,6.45023741170595e-20,1.6738016982019e-19,0.00865424323774095,0.0435762401773948,0.00221196941288737,0.00229297776034613,0.00109883549881481,7.10058626355763e-19,0.00726831770256394,0.000784721756554878,2.74745926097762e-20,0.00535144906332284,0.000147553413049372,0,0.0188443699600789,1.85097764372298e-19,0,0,3.4670661070598e-18,0,0,0.0171311004044728,2.74577504467087e-18,8.62554396704193e-20,0.00378918767100398,0.0168753936464232,0.0127181504424785,0.00695094431603994,0.00154550261260263,0,1.48814128092651e-21,5.6038509519928e-20,0.0297796625885135,0,0.007417405410756,0,0.118196740727843,0.0172279773951418,0.00242283504127369,2.33801327920354e-19,0.0252248808783239,0,3.59535019695745e-19,0.0169170550448897,0.0658732899199859,1.60345781040242e-20,0.00223965073496051,7.67179401692281e-21,0.0122344809016193,0,6.98400423707871e-19,0.000358082916462371,6.91276167495485e-19,1.25541577198814e-18,0,0.00558089400111001,0.0198812658931301,0.0062476234213026,0.018754186286752,0.00942218498003944,0.0281763712667914
"M090B",0.020468418987422,0.0316004877079748,6.757032813003e-19,3.94542482167658e-19,0.058555614083406,1.21974617128268e-19,0,5.2139279312212e-18,1.26000852039678e-20,0.0456867889892282,0,2.18528561013187e-18,3.7244363773411e-19,0,0,0,0.000359626470067661,0,7.02319337366465e-18,1.78813705577407e-19,0,0,0.013854889705276,1.78966940852877e-18,0,1.50836248384335e-18,0.00337940273428968,0.0130629290042828,4.8773894450083e-18,5.47644436016003e-22,0.000393086783847722,0.0103927129867845,1.7010828642356e-19,0.0359047427903682,0.00102105490613354,0.0011374205517023,0.00310784893940032,0,0.0333356847055647,0.000887905498618306,0,0,0.0972163466506074,0.00492162846921294,0.00144580146957274,1.54872677927664e-19,0.00286278910710658,2.62091153399281e-19,5.9479317813374e-18,0.028190728125367,0.0686136650146945,0,0.0498074281001441,0.00403025153477713,0,0,0,0.00303831651071545,0,1.88592526208765e-19,3.49818136238095e-19,0.0038222786406539,0.00101827785223615,3.68178526985953e-19,0.00760917859527867,0.0158002438539874,0.0234094224492661
"M090S",0.0870996278718375,4.81989400719022e-19,0.0420022210673407,0,0.0480889057011709,0,3.1829459538795e-19,0,7.39662143730379e-19,0.0425177837756699,0,7.15158573899427e-21,0,0,9.32385442126437e-05,0.00329566063067328,0,5.61348811675384e-19,0,0.000337351824080223,0.0157594284259157,0,0.00537953997564197,2.63143638360025e-19,0,0,0.000264831450771894,0.0152577145360642,0,7.28612949264073e-20,0.00393664892440054,0.0183748165086673,0.0107590336109302,0.0157636450842609,0.000468663506310992,0.00422622558855502,0.007118994508282,1.02686744155659e-20,0.0246702069199144,0.000373530512304106,0.00238496202988282,0,0.0936144155325378,0.00822449719268585,0.00781038295822436,2.68019720554e-19,0.00137223794691791,1.39226955251673e-19,0,0.0042257435501478,0.0417210462593306,0.00214560621321286,0.0689356559465887,0.00370001677546091,3.19579250755938e-18,0,0,0.00220487636194347,4.73238714918728e-18,1.13512998417082e-17,1.90015256002853e-18,0,0.0396209729471851,1.73431248370212e-19,0.0143771959126275,0.00787971421295786,0.0222569101255854
"M094B",0.000145179889397758,0.00372449108243018,0,1.50584223737339e-18,0.127997786231927,3.91220138626067e-19,0,4.20844769640586e-20,3.27893006450872e-18,8.76387124209808e-18,2.07475987987266e-20,0,0,0,0,0.010684837834412,0.000410004819194356,0.00961713181108782,0.00870688429869855,3.67619071999213e-19,0,0,0.00676713746372143,7.60326691360293e-21,0.00127748040082295,0,0.00127280167477619,0.0227043722003926,0.0251342882062586,0,0,0.00316733908963438,0.000665666665052699,0.00542653986463131,0.000452921807242226,0,0.000475373145207838,4.15182417536682e-18,0.0580450758205666,0,2.83576230265594e-18,0,0.189364883710755,0.000793984110837406,0.000245918889324436,0,0.000187280263229759,0.0011499034937398,1.23168387413033e-18,0.0303800907174855,0.101938163719946,0,0,0,0,4.73150018298116e-18,0.0100357493856099,3.76287606624406e-19,1.12171448421495e-18,0.0420222475966217,0,0,0.0761678739608153,2.32896116832755e-18,0.00318010959374428,0.00250098574162657,0.00568109533537085
"M094S",0.0302069260911808,0,0.0326615757080266,6.91529045896224e-20,0.110042702585482,0,0,0,2.75357374515298e-18,0,8.92354226569856e-19,2.04804691541338e-18,0,0,0,0.0314175758972154,0.0175469949520359,0.000741144515998657,0.0119390091591412,1.11199188115724e-19,5.53752778919288e-20,3.32329643561906e-18,0.0134280264782553,0,0.0382048990665803,0.00130252131349899,0.00229771894942761,0.0136389267256501,1.07442493216564e-18,6.12723194381819e-20,6.83342843835411e-19,0.0123488880632573,0.0101435783988659,0.0077518616816852,0.00573647726540656,0,0.000543228263667799,0,0.0316283928649258,5.48870610732145e-18,2.47156034846116e-18,0,0.118863095929948,0.00457113825690364,0.00288123342250815,8.09547218501793e-20,0.000194535011473062,0.00177996326144435,1.24689915752748e-18,0,0.101820042635989,0,0.0296646942076209,6.21195094883337e-19,0,0,0.00653683097302375,2.31575645603111e-20,2.83209315102424e-20,5.4069044891841e-19,0,0,0.0713435041306581,1.16796115974632e-18,0.0132435523934055,0.0191024495332902,0.0323460019266957
